cod_dep,Anho,Trimestre,Poblacion_dep_trim
01,2018,1,419833.0
01,2018,2,420840.5
01,2018,3,421848.0
01,2018,4,422855.5
01,2019,1,423863.0
01,2019,2,424598.8
01,2019,3,425334.5
01,2019,4,426070.2
01,2020,1,426806.0
01,2020,2,427232.5
01,2020,3,427659.0
01,2020,4,428085.5
01,2021,1,428512.0
01,2021,2,428754.8
01,2021,3,428997.5
01,2021,4,429240.2
01,2022,1,429483.0
01,2022,2,429598.0
01,2022,3,429713.0
01,2022,4,429828.0
01,2023,1,429943.0
01,2023,2,429988.0
01,2023,3,430033.0
01,2023,4,430078.0
01,2024,1,430123.0
01,2024,2,430155.0
01,2024,3,430187.0
01,2024,4,430219.0
01,2025,1,430251.0
01,2025,2,430264.5
01,2025,3,430278.0
01,2025,4,430291.5
01,2026,1,430305.0
01,2026,2,430305.0
01,2026,3,430305.0
01,2026,4,430305.0
02,2018,1,1155451.0
02,2018,2,1158968.8
02,2018,3,1162486.5
02,2018,4,1166004.2
02,2019,1,1169522.0
02,2019,2,1172301.0
02,2019,3,1175080.0
02,2019,4,1177859.0
02,2020,1,1180638.0
02,2020,2,1182576.2
02,2020,3,1184514.5
02,2020,4,1186452.8
02,2021,1,1188391.0
02,2021,2,1189832.2
02,2021,3,1191273.5
02,2021,4,1192714.8
02,2022,1,1194156.0
02,2022,2,1195253.8
02,2022,3,1196351.5
02,2022,4,1197449.2
02,2023,1,1198547.0
02,2023,2,1199453.0
02,2023,3,1200359.0
02,2023,4,1201265.0
02,2024,1,1202171.0
02,2024,2,1203038.0
02,2024,3,1203905.0
02,2024,4,1204772.0
02,2025,1,1205639.0
02,2025,2,1206453.0
02,2025,3,1207267.0
02,2025,4,1208081.0
02,2026,1,1208895.0
02,2026,2,1208895.0
02,2026,3,1208895.0
02,2026,4,1208895.0
03,2018,1,427323.0
03,2018,2,427889.0
03,2018,3,428455.0
03,2018,4,429021.0
03,2019,1,429587.0
03,2019,2,429874.2
03,2019,3,430161.5
03,2019,4,430448.8
03,2020,1,430736.0
03,2020,2,430704.2
03,2020,3,430672.5
03,2020,4,430640.8
03,2021,1,430609.0
03,2021,2,430386.8
03,2021,3,430164.5
03,2021,4,429942.2
03,2022,1,429720.0
03,2022,2,429367.8
03,2022,3,429015.5
03,2022,4,428663.2
03,2023,1,428311.0
03,2023,2,427889.8
03,2023,3,427468.5
03,2023,4,427047.2
03,2024,1,426626.0
03,2024,2,426196.0
03,2024,3,425766.0
03,2024,4,425336.0
03,2025,1,424906.0
03,2025,2,424461.5
03,2025,3,424017.0
03,2025,4,423572.5
03,2026,1,423128.0
03,2026,2,423128.0
03,2026,3,423128.0
03,2026,4,423128.0
04,2018,1,1428708.0
04,2018,2,1437690.5
04,2018,3,1446673.0
04,2018,4,1455655.5
04,2019,1,1464638.0
04,2019,2,1472838.0
04,2019,3,1481038.0
04,2019,4,1489238.0
04,2020,1,1497438.0
04,2020,2,1504745.8
04,2020,3,1512053.5
04,2020,4,1519361.2
04,2021,1,1526669.0
