cod_prov,Anho,Trimestre,Poblacion_prov_trim
0101,2018,1,61078.0
0101,2018,2,61360.2
0101,2018,3,61642.5
0101,2018,4,61924.8
0101,2019,1,62207.0
0101,2019,2,62452.2
0101,2019,3,62697.5
0101,2019,4,62942.8
0101,2020,1,63188.0
0101,2020,2,63306.2
0101,2020,3,63424.5
0101,2020,4,63542.8
0101,2021,1,63661.0
0101,2021,2,63760.2
0101,2021,3,63859.5
0101,2021,4,63958.8
0101,2022,1,64058.0
0101,2022,2,64144.2
0101,2022,3,64230.5
0101,2022,4,64316.8
0101,2023,1,64403.0
0101,2023,2,64481.8
0101,2023,3,64560.5
0101,2023,4,64639.2
0101,2024,1,64718.0
0101,2024,2,64794.5
0101,2024,3,64871.0
0101,2024,4,64947.5
0101,2025,1,65024.0
0101,2025,2,65098.0
0101,2025,3,65172.0
0101,2025,4,65246.0
0101,2026,1,65320.0
0101,2026,2,65320.0
0101,2026,3,65320.0
0101,2026,4,65320.0
0102,2018,1,82816.0
0102,2018,2,83074.5
0102,2018,3,83333.0
0102,2018,4,83591.5
0102,2019,1,83850.0
0102,2019,2,84055.5
0102,2019,3,84261.0
0102,2019,4,84466.5
0102,2020,1,84672.0
0102,2020,2,84847.8
0102,2020,3,85023.5
0102,2020,4,85199.2
0102,2021,1,85375.0
0102,2021,2,85490.0
0102,2021,3,85605.0
0102,2021,4,85720.0
0102,2022,1,85835.0
0102,2022,2,85908.5
0102,2022,3,85982.0
0102,2022,4,86055.5
0102,2023,1,86129.0
0102,2023,2,86180.0
0102,2023,3,86231.0
0102,2023,4,86282.0
0102,2024,1,86333.0
0102,2024,2,86381.0
0102,2024,3,86429.0
0102,2024,4,86477.0
0102,2025,1,86525.0
0102,2025,2,86568.5
0102,2025,3,86612.0
0102,2025,4,86655.5
0102,2026,1,86699.0
0102,2026,2,86699.0
0102,2026,3,86699.0
0102,2026,4,86699.0
0103,2018,1,27042.0
0103,2018,2,27024.5
0103,2018,3,27007.0
0103,2018,4,26989.5
0103,2019,1,26972.0
0103,2019,2,26936.5
0103,2019,3,26901.0
0103,2019,4,26865.5
0103,2020,1,26830.0
0103,2020,2,26786.2
0103,2020,3,26742.5
0103,2020,4,26698.8
0103,2021,1,26655.0
0103,2021,2,26603.5
0103,2021,3,26552.0
0103,2021,4,26500.5
